# single_hinge
Single KB Two hand swing | swing
Single KB One hand swing | swing
Single KB Hand to hand swing | swing
Single KB Clean | clean
Single KB Dead stop clean | clean
Single KB Snatch | snatch
Single KB Dead stop snatch | snatch
Figure 8 | figure8

# single_squat
Single KB Goblet squat | squat
Single KB Racked squat | squat
Single KB Reverse lunge (racked) | lunge
Single KB Reverse lunge (goblet) | lunge
Single KB Weighted step up (goblet) | step_up
Single KB Weighted step up (racked) | step_up

# double_hinge
Double Kettlbell clean | clean
Double Kettlbell dead stop clean | clean
Double Kettlbell swing to clean | clean
Double Kettlbell suitcase deadlift | deadlift

# double_squat
Double Kettlbell front squat | squat
Double Kettlbell squat clean | clean_squat
Double Kettlbell reverse lunge | lunge
Double Kettlbell rack step ups | step_up
